"id","name","code","basename","latitude","longitude","ref_altitude"
1,"EIH","8FW4J82W+2R","Bretigny",48.60005,2.347038,89
2,"CDG","8FX42H58+X9","Paris",49.00991,2.565982,119
3,"LUX","8FX8J5F2+X6","Luxembourg",49.624928,6.150548,376
4,"BRU","9F26VCMH+8C","Brussels",50.883354,4.428551,56
5,"BEL","9C6PJ47G+9H","Belfast",54.61341,-5.8735237,82
6,"BDX","8CPXR7JW+HW","Bordeaux",44.831436,-0.702659,49
7,"LON","9C3XGW9R+5H","London",51.517952,-0.0586155,6
8,"CYP","8G6MVJGJ+JJ","Cyprus",34.876556,33.63153,3
9,"BUC","8GP8F3WJ+63","Bucharest",44.495613,26.080175,96
10,"AUS","8FWR4H3Q+MR","Vienna",48.10423,16.589588,183
11,"ZUR","8FVC9GXX+5M","Zurich",47.39794,8.549208,530
12,"PAP","8G6JPF9G+C6","Paphos",34.71852,32.47551,5
13,"SAR","8FMWR8GP+J5","Sarajevo",43.82655,18.33539,521
14,"TGD","8FJX968W+6W","Podgorica",42.365555,19.247278,43
15,"SOF","8GJ5MCW6+MH","Sofia",42.696693,23.411436,531
16,"BEN","8CCXGVWC+HC","Benidorm",38.54643,-0.128963,5
17,"VIL","9G67J7MP+J8","Vilnius",54.6341,25.2858,198
